bedrooms,bathrooms,sqft_living,floors,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,price
3,1.5,1340,1.5,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,USA,313000
5,2.5,3650,2,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,USA,2384000
3,2,1930,1,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,342000
3,2.25,2000,1,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,420000
4,2.5,1940,1,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,USA,550000
2,1,880,1,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,USA,490000
2,2,1350,1,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,335000
4,2.5,2710,2,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,482000
3,2.5,2430,1,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA,452500
4,2,1520,1.5,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,USA,640000
3,1.75,1710,1,1710,0,1948,1994,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,463000
4,2.5,2920,1.5,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA,1400000
3,1.75,2330,1,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,588500
3,1,1090,1,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,USA,365000
5,2.75,2910,1.5,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,1200000
3,1.5,1200,1,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,242500
3,1.5,1570,1,1570,0,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,419000
4,3,3110,2,3110,0,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA,367500
3,1.75,1370,1,1370,0,1987,2000,1605 S 245th Pl,Des Moines,WA 98198,USA,257950
3,1.5,1180,1,1180,0,1983,2009,12425 415th Ave SE,North Bend,WA 98045,USA,275000
3,1.75,2240,2,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA,750000
4,1,1450,1,1450,0,1954,1979,3922 154th Ave SE,Bellevue,WA 98006,USA,435000
3,2.25,1750,2.5,1470,280,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA,626000
4,2.5,2730,2,2730,0,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA,612500
4,1.75,1600,1,1130,470,1959,1989,2021 NE 100th St,Seattle,WA 98125,USA,495000
3,2.5,2090,1,1360,730,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA,285000
3,1.75,2360,1,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA,615000
4,2.25,2200,1.5,1300,900,1920,0,1036 4th St,Kirkland,WA 98033,USA,698000
5,2.5,2820,2,2820,0,1979,2014,23525 SE 32nd Way,Issaquah,WA 98029,USA,675000
3,2.5,2600,1,1700,900,1951,1999,3314 NW 75th St,Seattle,WA 98117,USA,790000
4,1.75,1560,1,1560,0,1967,0,14104 119th Ave NE,Kirkland,WA 98034,USA,382500
4,2.5,2860,2,2190,670,2004,2003,20120 137th Ave NE,Woodinville,WA 98072,USA,499950
4,2,1820,1.5,1640,180,1945,2010,7201-7399 55th Ave NE,Seattle,WA 98115,USA,650000
4,2.5,2820,2,2820,0,2014,0,17052 4th Ave NE,Shoreline,WA 98155,USA,625000
4,2.5,3630,1.5,2300,1330,1979,2014,5172-5198 Heather Ave SE,Auburn,WA 98092,USA,400000
3,2.5,3240,2,3240,0,1995,0,30822 36th Ct SW,Federal Way,WA 98023,USA,604000
2,1,800,1,800,0,1944,0,4801-4899 6th Ave NW,Seattle,WA 98107,USA,440000
3,3,1850,1,1090,760,1992,0,23017 SE 281st Ct,Maple Valley,WA 98038,USA,287200
3,2,1960,1,1650,310,1957,0,17825 4th Ave SW,Normandy Park,WA 98166,USA,403000
3,2.5,2390,1,1440,950,1955,2009,3628 59th Ave SW,Seattle,WA 98116,USA,750000
3,2.25,1580,1,1580,0,1978,2000,4460 332nd Ave SE,Fall City,WA 98024,USA,335000
4,2,1480,1,1480,0,1974,0,2019 Aberdeen Pl SE,Renton,WA 98055,USA,260000
2,1,850,1,850,0,1950,1983,121 NE 147th St,Shoreline,WA 98155,USA,308500
3,2.5,1770,2,1770,0,1990,2009,4458 51st Ave SW,Seattle,WA 98116,USA,439950
2,1,1210,1,1210,0,1949,0,7542 21st Ave SW,Seattle,WA 98106,USA,235000
3,1,1160,1,1160,0,1968,1997,15804 198th Pl NE,Woodinville,WA 98077,USA,315000
3,2.25,1970,2,1970,0,1977,0,26069 SE 154th St,Issaquah,WA 98027,USA,437500
3,2.5,1930,2,1930,0,1996,0,4314 NE 6th Pl,Renton,WA 98059,USA,407500
3,2.5,1270,3,1270,0,2001,0,2640 NW 56th St,Seattle,WA 98107,USA,445700
4,2.5,3310,2,3310,0,2001,0,15712 NE 136th Pl,Redmond,WA 98052,USA,838000
4,2.75,2710,2,2710,0,2000,0,26429 SE 154th Pl,Issaquah,WA 98027,USA,630000
3,1.75,2910,1.5,2910,0,1979,2014,3923 229th Pl SE,Sammamish,WA 98075,USA,550000
3,2,2710,1.5,1880,830,1929,0,6222 30th Ave NE,Seattle,WA 98115,USA,805000
3,1.75,1800,1,1800,0,1968,1997,32418 NE 50th St,Carnation,WA 98014,USA,284000
5,2.5,2210,1,1460,750,1976,0,19334 89th Ave NE,Bothell,WA 98011,USA,470000
4,1.5,1920,1,1070,850,1954,1979,4071 156th Ave SE,Bellevue,WA 98006,USA,430000
4,1.75,2190,1,2190,0,1968,1997,36850 204th Ave SE,Auburn,WA 98092,USA,491500
5,3.25,3660,2,3660,0,2006,0,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA,785000
3,3.25,1320,2,1040,280,2008,0,3400 21st Ave W,Seattle,WA 98199,USA,385000
2,2.5,1630,2,1280,350,2009,0,5944-6082 Delridge Way SW,Seattle,WA 98106,USA,295000
4,2.5,3310,2,3310,0,2012,1912,35229 SE Terrace St,Snoqualmie,WA 98065,USA,555000
3,2.5,2680,2,2680,0,2013,1923,13800 453rd Ave SE,North Bend,WA 98045,USA,459990
4,3.25,2730,1,1560,1170,2007,0,9927 174th Ave SE,Renton,WA 98059,USA,625000
3,2.5,2540,2,2540,0,2006,0,29734 215th Terrace SE,Kent,WA 98042,USA,300000
4,2.75,2920,2,2920,0,2012,1912,5608 NE 5th Cir,Renton,WA 98059,USA,625000
2,1,900,1,900,0,1944,0,8053 29th Ave NW,Seattle,WA 98117,USA,553000
3,2.5,1650,1,1130,520,1986,0,13256 242nd Pl SE,Issaquah,WA 98027,USA,379880
3,1,1010,1,1010,0,1973,0,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA,310000
2,2.5,2680,1,2680,0,2004,2003,13134 234th Ct NE,Redmond,WA 98053,USA,775000
3,2.5,2200,1,1570,630,1988,0,13420 SE 182nd St,Renton,WA 98058,USA,365000
4,2.5,2530,2,2010,520,1990,2009,925 48th Ct,Auburn,WA 98092,USA,331950
3,2.5,2850,2,1990,860,1980,0,151 Euclid Ave,Seattle,WA 98122,USA,783500
4,2,2280,1,1140,1140,1900,2005,205-206 Euclid Ave,Seattle,WA 98122,USA,628000
3,2.5,1900,2,1900,0,1987,2000,22314 NE 11th Pl,Sammamish,WA 98074,USA,560000
3,1,1330,1,1330,0,1928,1954,13615 NE 100th St,Kirkland,WA 98033,USA,900000
2,3,1270,2,1110,160,2000,0,1411 N 48th St,Seattle,WA 98103,USA,531000
4,3,2170,2,1610,560,1982,2011,120 31st Ave E,Seattle,WA 98112,USA,831000
4,2.5,2730,2,2730,0,1996,0,23140 NE 14th Ct,Sammamish,WA 98074,USA,780000
4,2.5,2120,1,1620,500,1960,2001,12645 SE 27th St,Bellevue,WA 98005,USA,755000
3,2.5,2490,2,2490,0,2003,0,3187 NE Larkspur Ln,Issaquah,WA 98029,USA,705380
4,2.25,1990,1,1210,780,1973,2013,18915 SE 42nd Pl,Issaquah,WA 98027,USA,627000
4,3,3690,2,3690,0,1998,2006,1765 267th Ct SE,Sammamish,WA 98075,USA,865000
2,1,2540,1,1320,1220,1942,0,8624 Island Dr S,Seattle,WA 98118,USA,580000
3,2.25,1800,1,1360,440,1978,2000,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA,410000
4,3,2340,1,1340,1000,1979,0,14319 85th Pl NE,Kirkland,WA 98034,USA,485000
2,1.75,2110,1,2110,0,1948,0,2120 NE 168th St,Shoreline,WA 98155,USA,400000
2,1,1140,1,1140,0,1908,0,209 30th Ave E,Seattle,WA 98112,USA,549000
3,1.75,1480,2.5,1480,0,2005,0,10512 128th Ave NE,Kirkland,WA 98033,USA,620000
2,3,1410,2,1140,270,2006,0,9126 45th Ave SW,Seattle,WA 98136,USA,405000
2,1,1200,1,1200,0,1958,1972,20220 8th Ave S,Des Moines,WA 98198,USA,232000
5,2.5,3180,2,3180,0,1990,0,11821 NE 48th Pl,Kirkland,WA 98033,USA,800866
3,1.5,2160,1,1400,760,1949,1985,13026 10th Ave NW,Seattle,WA 98177,USA,650000
6,1.75,2920,2.5,2780,140,1908,0,125 29th Ave,Seattle,WA 98122,USA,823000
3,2,2350,1.5,1810,540,1939,1989,2171 Boyer Ave E,Seattle,WA 98112,USA,770000
3,1.75,1560,1,780,780,1944,0,3434 33rd Ave W,Seattle,WA 98199,USA,524000
